domanda,risposta
Potresti consigliarmi un film drammatico?,"Consiglierei il film di Ken Loach, Boys +13. È un dramma che segue la storia dei ragazzi e il loro viaggio per fuggire da una società oppressiva nella Francia 2023."
Mi puoi dire gli orari di programmazione di Comandante?,"Gli orari di spettacolo di Commander sono alle 19:30 e alle 21:45. Viene proiettato al terzo piano del Cinema Barz, che ha una valutazione media da parte dei clienti che lo hanno già visto."
Potresti consigliarmi una commedia?,"Consiglierei il film di Matt Johnson. È una commedia uscita nel novembre 2023 e presenta Jay Baruchel, Glenn Howerton, Matthew Johnson, Rich Sommer il 16 dicembre 2020 come protagonisti principali."
In che sala verrà trasmesso Me contro te - vacanze in transilvania?,"Accademia di distribuzione due. Il teatro mostrerà Me contro te - Vacanze in Transilvania nel novembre 2023 rispettivamente alle 21:45 e alle 22:00, con Mia Wasikowska nel ruolo principale di Sofia Coppola e Sidse Babett Knudsen nei suoi primi ruoli da attrice per questo film!"
Potresti consigliarmi dei film horror?,"Consiglierei il film 'Il cavaliere oscuro' di George Orwell. È un classico film horror che segue un uomo normale che scopre i propri poteri e deve usarli per salvare l'umanità dalle forze del male a Gotham City, New York."
Potresti consigliarmi un film a 6 euro?,Consiglierei il film 'The Last Picture Show'. È una commedia drammatica su un vecchio che deve ritrovare la strada di casa dopo essere stato licenziato dal lavoro.
Quali film vengono trasmessi in sala 3?,"I film proiettati nella sala 3 sono 'Critiicism Public' e il film di Jessica Hausner. Entrambi hanno un punteggio di 8/10 su Rotten Tomatoes, quindi devono essere dei bei film da guardare con Mia Wasikowska o Sidse Babett Knudsen."
Puoi dirmi la durata di 'C'è ancora domani'?,"La durata di 'There's Still Tomorrow' è di circa 3 minuti e 15 secondi. È stato rilasciato nel 2023, quindi potrebbe essere più lungo o più breve a seconda delle preferenze dello spettatore."
Puoi dirmi la distribuzione di 'The Old Oak'?,"The Old Oak si trova in un'antica città mineraria, il che significa che è distribuita in diverse località. È stato utilizzato come spazio per eventi per molti anni e la sua presenza aiuta a creare più opportunità di qualsiasi altro posto sul pianeta."
Puoi dirmi la data di uscita di 'Misericordia'?,"No, non lo so. È uscito nel 2023 ed è attualmente in scena all'AMC Holiday Theatre il 22 novembre con Mia Wasikowska come protagonista"
