Domande,Risposte
Potresti consigliarmi un film drammatico?,"Film di questo genere che noi trasmettiamo sono: C'è ancora domani, Comandante"
Mi puoi dire gli orari di programmazione di Comandante?,"Gli orari sono: 19.00, 22.00"
Potresti consigliarmi una commedia?,"Sì, qui da noi puoi trovare Me contro te - vacanze in transilvania"
In che sala verrà trasmesso Me contro te - vacanze in transilvania?,Sala 5
Potresti consigliarmi dei film horror?,"Film di questo genere che noi trasmettiamo sono: Saw X, Five Nights at Freddy's"
Potresti consigliarmi un film a 6 euro?,"Certo, vieni pure a vedere Five Nights at Freddy's!"
Quali film vengono trasmessi in sala 3?,"Sono: C'è ancora domani, Comandante"
Puoi dirmi la durata di 'C'è ancora domani'?,"Durata 118 minuti"
Puoi dirmi la distribuzione di 'The Old Oak'?,"Lucky Red"
Puoi dirmi la data di uscita di 'Misericordia'?,"16 Novembre 2023"
